road,modal_class,segments,mean_lanes,mean_speed_kmh,oneway_share,transit_share,commercial_share,junction_share,unpaved_share,lanes_imputed_share,speed_imputed_share,mean_segment_score,category,confidence
Neal Street,unclassified,2,1.0,32,0.5,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Scrutton Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Dale Road,residential,2,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Penrose Street,residential,4,1.0,32,0.0,0.75,1.0,0.0,0.0,1.0,0.25,16.0,Low,low
Aylesford Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Risinghill Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Cleveland Terrace,residential,1,1.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Kemble Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Elcho Street,unclassified,2,1.0,32,0.0,0.5,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Howie Street,residential,1,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Parkham Street,residential,2,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Granfield Street,residential,2,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Crondall Street,residential,2,1.0,32,0.0,0.5,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Buckland Street,residential,1,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Thorncroft Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Wimbourne Street,residential,1,1.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Grayshott Road,residential,3,1.0,32,0.0,0.67,1.0,0.67,0.0,0.0,0.0,16.0,Low,high
Penally Place,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Collier Street,unclassified,2,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Wheelwright Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Harewood Row,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Carter Street,residential,1,1.0,30,0.0,1.0,1.0,0.0,0.0,1.0,1.0,16.0,Low,low
Hackford Road,residential,6,2.0,32,0.0,0.0,1.0,0.67,0.0,0.0,0.0,16.0,Low,high
Love Lane,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Mawbey Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Crimscott Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Cottage Green,residential,1,1.0,32,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Launcelot Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Palmerston Way,unclassified,1,1.0,40,1.0,0.0,1.0,1.0,0.0,1.0,1.0,16.0,Low,low
Rufus Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Giltspur Street,residential,3,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Hobury Street,residential,2,1.0,32,0.0,0.5,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Kirtling Street,unclassified,4,1.8,36,0.0,0.0,1.0,0.0,0.0,0.25,0.5,16.0,Low,medium
Gate Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Clunbury Street,residential,1,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
Stonecutter Street,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Rood Lane,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Smart's Place,unclassified,2,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Westmoreland Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Chapel Place,unclassified,1,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
John Street,unclassified,2,1.0,32,0.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Belgrove Street,unclassified,2,1.0,32,1.0,0.0,1.0,1.0,0.0,0.5,0.0,16.0,Low,medium
Vince Street,unclassified,1,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Cremer Street,unclassified,5,1.6,32,0.0,0.0,1.0,0.2,0.0,0.4,0.0,16.0,Low,medium
Pump House Lane,unclassified,10,1.6,34,0.2,0.0,1.0,0.2,0.0,0.2,0.3,16.0,Low,medium
Circus Road East,unclassified,4,1.8,28,0.0,0.0,1.0,0.0,0.0,0.25,0.5,16.0,Low,medium
Prospect Way,unclassified,1,1.0,40,0.0,0.0,1.0,1.0,0.0,1.0,1.0,16.0,Low,low
St Andrew Street,unclassified,4,1.0,32,0.5,0.0,1.0,1.0,0.0,1.0,0.0,16.0,Low,medium
Cherbury Street,residential,1,1.0,32,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,Low,medium
York Gate,unclassified,10,1.1,32,1.0,0.0,1.0,0.8,0.0,0.9,0.0,15.8,Low,medium
Rodney Street,unclassified,4,1.5,32,0.0,0.0,1.0,0.25,0.0,0.5,0.0,15.8,Low,medium
Broughton Street,residential,5,1.2,32,0.4,0.0,1.0,0.4,0.0,0.8,0.0,15.8,Low,medium
Cloth Street,unclassified,3,1.7,32,0.0,0.0,1.0,0.0,0.0,0.33,0.0,15.7,Low,medium
Charterhouse Square,unclassified,6,1.2,32,0.0,0.0,1.0,0.33,0.0,1.0,0.0,15.7,Low,medium
Ampton Place,unclassified,3,1.7,32,0.0,0.0,1.0,0.0,0.0,0.33,0.0,15.7,Low,medium
Vale Royal,unclassified,3,1.7,32,0.0,0.0,1.0,0.0,0.0,0.33,0.0,15.7,Low,medium
Winchester Road,residential,3,1.7,32,0.0,0.0,1.0,1.0,0.0,0.33,0.0,15.7,Low,medium
Edinburgh Gate,unclassified,3,1.7,32,0.0,0.0,1.0,0.0,0.0,0.67,0.0,15.7,Low,medium
Russell Street,unclassified,5,1.2,32,0.4,0.0,1.0,0.6,0.0,0.8,0.0,15.6,Low,medium
Pitfield Street,residential,10,1.2,32,0.0,0.1,1.0,0.5,0.0,1.0,0.0,15.6,Low,medium
Lansdowne Way,residential,9,1.0,34,0.11,0.78,1.0,0.22,0.0,1.0,0.0,15.6,Low,medium
Hyde Park Square,residential,7,1.4,32,0.0,0.0,1.0,0.0,0.0,0.57,0.0,15.6,Low,medium
Keyworth Street,unclassified,4,1.2,32,0.0,0.0,1.0,0.5,0.0,0.75,0.0,15.5,Low,medium
Eastcastle Street,unclassified,4,1.2,32,0.5,0.0,1.0,0.5,0.0,0.75,0.0,15.5,Low,medium
Drummond Street,unclassified,4,1.2,32,0.0,0.0,1.0,0.75,0.0,0.25,0.0,15.5,Low,medium
Glentworth Street,residential,4,2.0,32,0.0,0.0,1.0,0.5,0.0,0.0,0.0,15.5,Low,high
Coronet Street,unclassified,4,1.2,32,0.25,0.0,1.0,0.0,0.0,1.0,0.0,15.5,Low,medium
Coleman Fields,residential,2,2.0,32,0.0,0.0,1.0,0.5,0.0,0.0,0.0,15.5,Low,high
Trump Street,unclassified,4,1.2,32,0.75,0.0,1.0,0.5,0.0,0.0,0.0,15.5,Low,high
Havelock Terrace,unclassified,6,1.0,40,0.33,0.0,1.0,0.83,0.0,1.0,1.0,15.5,Low,low
Tavistock Street,unclassified,4,1.2,32,0.5,0.0,1.0,0.5,0.0,0.75,0.0,15.5,Low,medium
Millman Street,unclassified,5,1.6,32,0.6,0.0,1.0,0.0,0.0,0.0,0.0,15.4,Low,high
Aldermanbury,unclassified,5,1.6,32,0.6,0.0,1.0,0.0,0.0,0.4,0.0,15.4,Low,medium
Warner Street,unclassified,3,1.3,32,0.0,0.0,1.0,0.33,0.0,0.67,0.0,15.3,Low,medium
Old Bailey,unclassified,7,1.6,32,0.14,0.0,1.0,0.0,0.0,0.43,0.0,15.3,Low,medium
Park Street,unclassified,30,1.2,32,0.57,0.0,1.0,0.17,0.0,0.8,0.0,15.3,Low,medium
Melton Street,unclassified,3,1.3,32,0.0,0.0,1.0,0.33,0.0,0.67,0.0,15.3,Low,medium
Lamb's Conduit Street,unclassified,4,1.0,32,0.5,0.0,1.0,0.75,0.0,1.0,0.0,15.2,Low,medium
Herbrand Street,unclassified,5,1.4,32,0.2,0.0,1.0,0.4,0.0,0.6,0.0,15.2,Low,medium
University Street,unclassified,4,1.0,32,1.0,0.0,1.0,0.75,0.0,0.75,0.0,15.2,Low,medium
Berwick Street,unclassified,4,1.0,32,0.75,0.0,1.0,0.75,0.0,1.0,0.0,15.2,Low,medium
Myddelton Square,residential,5,2.0,32,0.0,0.0,1.0,0.4,0.0,0.0,0.0,15.2,Low,high
Wye Street,residential,5,2.0,32,0.0,0.0,1.0,0.4,0.0,0.0,0.0,15.2,Low,high
St John's Wood High Street,unclassified,4,1.0,32,0.25,0.0,1.0,1.0,0.0,1.0,0.0,15.2,Low,medium
Wells Street,unclassified,4,1.0,32,1.0,0.0,1.0,0.75,0.0,1.0,0.0,15.2,Low,medium
Onslow Square,residential,7,1.1,32,0.86,0.14,1.0,0.43,0.0,0.86,0.0,15.1,Low,medium
West Carriage Drive,unclassified,21,1.6,32,0.67,0.0,0.76,0.29,0.0,0.1,0.0,15.1,Low,medium
Lofting Road,unclassified,3,1.0,32,0.0,0.0,1.0,0.67,0.0,1.0,0.0,15.0,Low,medium
Acacia Road,residential,3,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,15.0,Low,high
Great Ormond Street,unclassified,5,1.2,32,0.4,0.0,1.0,0.4,0.0,0.8,0.0,15.0,Low,medium
Marchmont Street,unclassified,9,1.3,32,0.78,0.0,1.0,0.33,0.0,0.44,0.0,15.0,Low,medium
Roscoe Street,unclassified,3,1.0,35,0.0,0.0,1.0,0.67,0.0,1.0,0.33,15.0,Low,low
Ontario Street,unclassified,3,1.0,32,0.0,0.0,1.0,0.67,0.0,1.0,0.0,15.0,Low,medium
Thomas Doyle Street,unclassified,2,1.5,32,0.5,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Cloth Fair,unclassified,2,1.5,32,0.5,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Pearman Street,unclassified,5,1.2,32,0.6,0.0,1.0,0.4,0.0,0.8,0.0,15.0,Low,medium
Nile Street,unclassified,4,1.5,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Lamont Road,residential,3,1.0,32,0.0,0.33,1.0,1.0,0.0,1.0,0.0,15.0,Low,medium
Elm Park Gardens,residential,3,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,15.0,Low,high
Old South Lambeth Road,unclassified,4,1.5,32,0.5,0.0,1.0,0.0,0.0,0.25,0.0,15.0,Low,medium
Nazrul Street,unclassified,2,1.5,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Grange Grove,residential,3,2.0,32,0.0,0.0,1.0,0.33,0.0,0.0,0.0,15.0,Low,high
Crosby Row,unclassified,2,1.5,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Catherine Street,unclassified,3,1.0,32,0.67,0.0,1.0,0.67,0.0,1.0,0.0,15.0,Low,medium
Bulstrode Street,residential,2,1.5,32,0.5,0.0,1.0,1.0,0.0,0.0,0.0,15.0,Low,high
Barnby Street,unclassified,2,1.5,40,0.0,0.0,1.0,0.0,0.0,0.5,1.0,15.0,Low,low
Queen's Grove,unclassified,5,1.2,32,0.0,0.0,1.0,0.4,0.0,0.8,0.0,15.0,Low,medium
Bryanston Square,unclassified,4,1.5,32,0.5,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Lower Belgrave Street,residential,2,1.5,32,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,Low,high
Leather Lane,unclassified,3,1.0,32,0.67,0.0,1.0,0.67,0.0,1.0,0.0,15.0,Low,medium
Frederick Street,unclassified,2,1.5,32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,15.0,Low,medium
Mount Pleasant,unclassified,5,1.0,32,0.4,0.0,1.0,0.6,0.0,1.0,0.0,14.8,Low,medium
Great Titchfield Street,unclassified,19,1.1,32,0.95,0.0,1.0,0.37,0.0,0.68,0.0,14.8,Low,medium
St George's Drive,residential,6,1.3,32,0.67,0.0,1.0,0.17,0.0,0.67,0.0,14.8,Low,medium
Saffron Hill,unclassified,5,1.0,32,0.8,0.0,1.0,0.6,0.0,1.0,0.0,14.8,Low,medium
Arlington Road,residential,10,1.9,32,0.2,0.0,1.0,0.4,0.0,0.1,0.0,14.8,Low,medium
Broadley Terrace,residential,4,2.0,32,0.0,0.0,1.0,0.25,0.0,0.0,0.0,14.8,Low,high
Ossulston Street,unclassified,9,1.4,32,0.11,0.0,1.0,0.0,0.0,0.56,0.0,14.8,Low,medium
Appold Street,unclassified,7,1.0,32,0.43,0.29,1.0,0.0,0.0,1.0,0.0,14.7,Low,medium
Dorset Road,unclassified,19,1.4,32,0.16,0.0,1.0,0.11,0.0,0.37,0.0,14.7,Low,medium
St George Street,unclassified,6,1.2,32,0.67,0.0,1.0,0.33,0.0,0.17,0.0,14.7,Low,medium
Smedley Street,residential,3,1.7,31,0.0,0.0,1.0,0.67,0.0,0.33,0.67,14.7,Low,medium
Warwick Square,residential,10,1.3,32,0.4,0.0,1.0,0.1,0.0,0.8,0.2,14.7,Low,low
Falmouth Road,residential,3,1.7,32,0.0,0.0,1.0,0.67,0.0,0.33,0.0,14.7,Low,medium
Oval Road,unclassified,11,1.4,35,0.27,0.0,1.0,0.09,0.0,0.36,0.36,14.7,Low,low
Hoxton Street,unclassified,16,1.1,32,0.5,0.06,1.0,0.19,0.0,0.81,0.0,14.6,Low,medium
Bury Place,unclassified,5,1.4,32,0.4,0.0,1.0,0.0,0.0,0.6,0.0,14.6,Low,medium
Carburton Street,unclassified,9,1.2,32,0.67,0.0,1.0,0.22,0.0,0.11,0.0,14.6,Low,medium
Bell Street,unclassified,9,1.2,32,0.11,0.0,1.0,0.22,0.0,0.78,0.0,14.6,Low,medium
Elm Street,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Northington Street,unclassified,6,1.0,32,0.83,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Phoenix Place,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Turnmill Street,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Swan Lane,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Hollen Street,unclassified,2,1.0,32,0.5,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Cloak Lane,unclassified,4,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Barge House Street,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Streatham Street,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Glasshouse Street,unclassified,6,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Finsbury Circus,unclassified,2,1.0,32,0.5,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Hayne Street,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Argyle Square,unclassified,4,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
St Cross Street,unclassified,8,1.0,32,0.62,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Hatton Wall,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Greville Street,unclassified,4,1.0,32,0.75,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
York Terrace East,residential,2,1.0,32,0.5,0.0,1.0,1.0,0.0,1.0,0.0,14.5,Low,medium
Panton Street,residential,4,1.8,32,1.0,0.0,1.0,0.5,0.0,0.0,0.0,14.5,Low,high
Elm Park Road,residential,4,1.8,32,0.5,0.0,1.0,0.5,0.0,0.25,0.0,14.5,Low,medium
Weston Rise,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Church Street,residential,2,1.0,32,0.5,0.0,1.0,1.0,0.0,1.0,0.0,14.5,Low,medium
Charlotte Road,residential,2,1.0,32,1.0,0.0,1.0,1.0,0.0,1.0,0.0,14.5,Low,medium
St. Peter's Street,unclassified,4,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Wenlock Road,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Rozel Road,residential,4,1.8,32,0.25,0.0,1.0,0.5,0.0,0.25,0.0,14.5,Low,medium
Charterhouse Buildings,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Stukeley Street,unclassified,4,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Portpool Lane,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Benjamin Street,unclassified,2,1.0,32,1.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
St. Bride Street,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Micawber Street,unclassified,4,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Arthur Street,unclassified,2,1.0,32,0.0,0.0,1.0,0.5,0.0,1.0,0.0,14.5,Low,medium
Apex Road,unclassified,2,1.0,40,0.5,0.0,1.0,0.5,0.0,1.0,1.0,14.5,Low,low
Drury Lane,unclassified,11,1.0,32,1.0,0.0,1.0,0.45,0.0,0.91,0.0,14.4,Low,medium
Banner Street,unclassified,5,1.2,32,0.4,0.0,1.0,0.2,0.0,0.8,0.0,14.4,Low,medium
Hanover Gate,unclassified,5,1.2,32,0.8,0.0,1.0,0.2,0.0,0.0,0.0,14.4,Low,high
Thirleby Road,unclassified,3,1.3,32,0.0,0.0,1.0,0.33,0.0,0.67,0.0,14.3,Low,medium
O'Meara Street,unclassified,3,1.3,32,0.0,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Guilford Place,unclassified,3,1.3,32,0.67,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Saffron Street,unclassified,3,1.3,32,0.67,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Clipstone Street,unclassified,7,1.0,32,1.0,0.0,1.0,0.43,0.0,0.71,0.0,14.3,Low,medium
Waterson Street,unclassified,3,1.3,32,0.0,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Tileyard Road,unclassified,3,1.3,32,0.0,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Bowling Green Lane,unclassified,3,1.3,32,0.0,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Beak Street,unclassified,3,1.3,32,1.0,0.0,1.0,0.0,0.0,0.67,0.0,14.3,Low,medium
Grosvenor Cottages,unclassified,3,1.3,40,0.0,0.0,1.0,0.0,0.0,0.67,1.0,14.3,Low,low
Hanson Street,unclassified,4,1.5,32,0.25,0.0,1.0,0.0,0.0,0.5,0.0,14.2,Low,medium
St John's Square,unclassified,5,1.0,32,0.0,0.0,1.0,0.4,0.0,1.0,0.0,14.2,Low,medium
Royal Street,unclassified,4,1.5,32,0.25,0.0,1.0,0.0,0.0,0.5,0.0,14.2,Low,medium
Broadwick Street,unclassified,5,1.0,32,0.4,0.0,1.0,0.4,0.0,1.0,0.0,14.2,Low,medium
Pagden Street,unclassified,5,1.0,40,0.0,0.0,1.0,0.4,0.0,1.0,1.0,14.2,Low,low
Morley Street,unclassified,9,1.2,32,0.89,0.0,1.0,0.11,0.0,0.11,0.0,14.2,Low,medium
Handel Street,unclassified,5,1.0,32,0.8,0.0,1.0,0.4,0.0,1.0,0.0,14.2,Low,medium
Poole Street,unclassified,5,1.0,32,0.4,0.0,1.0,0.4,0.0,1.0,0.0,14.2,Low,medium
New Covent Garden Market,unclassified,10,1.0,40,0.9,0.0,1.0,0.4,0.0,1.0,1.0,14.2,Low,low
Camley Street,unclassified,19,1.3,32,0.0,0.0,1.0,0.0,0.0,0.74,0.0,14.1,Low,medium
Thessaly Road,residential,14,1.0,32,0.0,0.64,1.0,0.07,0.0,1.0,0.0,14.1,Low,medium
Haverstock Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Windsor Terrace,unclassified,3,1.0,32,0.67,0.0,1.0,0.33,0.0,1.0,0.0,14.0,Low,medium
Furlong Road,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Mecklenburgh Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Burton Place,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Burton Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Bouverie Place,residential,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Farringdon Lane,unclassified,3,1.0,32,0.33,0.0,1.0,0.33,0.0,1.0,0.0,14.0,Low,medium
Randolph Avenue,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
York Bridge,unclassified,7,1.1,32,0.71,0.0,1.0,0.14,0.0,0.0,0.0,14.0,Low,high
Warwick Lane,residential,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Ave Maria Lane,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Keeley Street,unclassified,3,1.0,32,0.0,0.0,1.0,0.33,0.0,1.0,0.0,14.0,Low,medium
Old North Street,unclassified,3,1.0,32,1.0,0.0,1.0,0.33,0.0,1.0,0.0,14.0,Low,medium
Merlin Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Granville Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Monkton Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Walcot Square,residential,4,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Oakden Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Wharton Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Cumberland Gardens,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Inglebert Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Brewer Street,unclassified,3,1.0,32,1.0,0.0,1.0,0.67,0.0,1.0,0.0,14.0,Low,medium
Lloyd Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Granville Square,residential,4,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Lloyd Square,residential,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
St. Thomas Street,unclassified,4,1.2,32,1.0,0.0,1.0,0.0,0.0,0.75,0.0,14.0,Low,medium
Holford Street,residential,1,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Shoe Lane,unclassified,9,1.0,32,0.44,0.0,1.0,0.33,0.0,1.0,0.0,14.0,Low,medium
Dodson Street,unclassified,3,1.0,32,0.33,0.0,1.0,0.33,0.0,1.0,0.0,14.0,Low,medium
Grosvenor Gardens Mews East,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Catherine Place,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Buckingham Place,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Vandon Street,residential,1,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Abbey Orchard Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Monck Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Little College Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Lyme Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Sloane Terrace,residential,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Wilbraham Place,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Draycott Terrace,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Wilton Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Chester Street,residential,2,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Archer Street,residential,1,2.0,32,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Combermere Road,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Crowland Terrace,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Taunton Mews,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
The Vale,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Mallord Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Mulberry Walk,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Heathcote Street,residential,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Mecklenburgh Square,residential,3,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Tanner Lane,unclassified,4,1.2,32,0.0,0.0,1.0,0.0,0.0,0.75,0.0,14.0,Low,medium
Paul Street,unclassified,13,1.1,32,1.0,0.0,1.0,0.23,0.0,0.23,0.0,14.0,Low,medium
Lorn Road,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
Luxor Street,residential,1,2.0,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,Low,high
